"Al-Kitab Al-Asasi Ummul Qura","Lesson 1","https://www.youtube.com/watch?v=bn8hNy9agbM","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 2","https://www.youtube.com/watch?v=tw_wWjU2yLg","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 3","https://www.youtube.com/watch?v=wvdpfIsByP4","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 4","https://www.youtube.com/watch?v=R0Ye23_Dqik","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 5 (Verbs)","https://www.youtube.com/watch?v=gTfnySmrQQY","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 6 (Review)","https://www.youtube.com/watch?v=ngjPjMNO8n4","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 7","https://www.youtube.com/watch?v=PO_erQ4uUp4","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 8","https://www.youtube.com/watch?v=EpvnBeQqWNQ","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 9","https://www.youtube.com/watch?v=rXsZubybVGg","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 10","https://www.youtube.com/watch?v=dPhKu5rjiao","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 11","https://www.youtube.com/watch?v=pDjCU68ZfFE","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 12","https://www.youtube.com/watch?v=z8GOjS3kO5Y","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 13 Part A","https://www.youtube.com/watch?v=1PRFx1p6RMQ","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 13 Part B","https://www.youtube.com/watch?v=5_EZiRpP9bc","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 14 Part A","https://www.youtube.com/watch?v=FNJD8fUCttY","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 14 Part B","https://www.youtube.com/watch?v=AFR208ehy1s","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 14 Part C","https://www.youtube.com/watch?v=bgU-f6J3OXU","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 15 Part A","https://www.youtube.com/watch?v=1IwxxDkJW1s","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 15 Part B (Fronted predicate, Dual, Ordinal)","https://www.youtube.com/watch?v=3auwaPf7Pto","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 15 Part C (Adverb of place, sun/moon letters))","https://www.youtube.com/watch?v=kl6DPXtNDXk","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 16 Part A","https://www.youtube.com/watch?v=ea1WnpIXjD8","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 16 Part B (Relative pronouns, Genders)","https://www.youtube.com/watch?v=1tFeIlJ7_RY","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 16 Part C (Sound Masculine plurals)","https://www.youtube.com/watch?v=U4nDiVdRqqQ","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 17 Part A","https://www.youtube.com/watch?v=F7vhn2FW7io","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 17 Part B (Surah Al Kaafiroon)","https://www.youtube.com/watch?v=5JW_ARZrNHk","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 17 Part C (pronoun, كَمْ, female sound plural)","https://www.youtube.com/watch?v=J9T7pXol5wQ","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 17 Part D","https://www.youtube.com/watch?v=JoQ67rehAQs","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 18 Part A (numbers, dual/plural)","https://www.youtube.com/watch?v=W0Kq7AdOgws","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 18 Part B","https://www.youtube.com/watch?v=fKXy9XI9_jg","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 19 Part A","https://www.youtube.com/watch?v=wnLNuw6oaUs","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 19B (Exercises, Verbal sentence)","https://www.youtube.com/watch?v=PIoVm-t9Pwc","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 19C (Past, present & command verbs)","https://www.youtube.com/watch?v=NEwU6SuNMgQ","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 19D","https://www.youtube.com/watch?v=fWN5ejibL8s","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 20a","https://www.youtube.com/watch?v=FcbQxNSJww4","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 20b","https://www.youtube.com/watch?v=cCOk90rZMlY","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 20c","https://www.youtube.com/watch?v=QST6a4XocuA","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 20d","https://www.youtube.com/watch?v=8lCtEsshsog","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 20e","https://www.youtube.com/watch?v=7jxb-JFIoN8","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 20f","https://www.youtube.com/watch?v=X2obBbnRFOs","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 20g","https://www.youtube.com/watch?v=OrCbvnTSQzY","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 21a","https://www.youtube.com/watch?v=ubjBvdDJO2U","","false"
"Al-Kitab Al-Asasi Ummul Qura","Lesson 21b","https://www.youtube.com/watch?v=RZCT_3SBDms","","false"
